count	reward_sum	squared_reward_sum	length
112	-111.36868417169899	10003.843212639329	172
113	-103.53849714878015	10002.802680340914	75
114	-99.7118058167398	10004.19515284291	62
115	-104.42049560532905	10003.148218213537	86
116	-104.92769142519683	10003.363842088	93
117	-104.4517762279138	10003.2743886744	93
118	-104.76103891152889	10003.882900957042	85
119	-101.13235926255584	10004.183438546404	63
120	-102.86198203451931	10002.554268679434	82
121	-101.08401892986149	10004.237869743542	74
122	-104.7032533090096	10003.340311235197	106
123	-104.31766785960644	10002.812591047388	95
124	-104.2514957380481	10003.0333005447	83
125	-104.01602864591405	10002.522532550882	108
126	-102.25001313607208	10002.538221205348	79
127	-101.23729789443314	10004.589135793472	75
128	-103.96837120875716	10002.17503707032	110
129	-102.48337908275425	10002.763672596908	93
130	-104.30400459119119	10002.672029359997	99
131	-101.29120442084968	10003.325495443456	69
132	-103.45244433172047	10002.871908501716	85
133	-102.58885545004159	10002.458337889437	79
134	-99.26967891398817	10003.481166137268	69
135	-99.67406879924238	10003.266630814804	67
136	-98.83367743901908	10003.330507082477	77
137	-99.08634319808334	10003.270155523405	69
138	-98.19187930598855	10003.346340405953	73
139	-99.10094242356718	10003.972249761224	119
140	-97.93560792319477	10003.38075298883	86
141	-99.44965568650514	10001.960601755103	82
142	-98.19238910079002	10002.902137530371	83
143	-99.32322810217738	10003.09087190061	72
144	-97.81879470869899	10002.947421082365	85
145	-98.2903332831338	10003.423375014849	72
146	-97.86643953435123	10003.411681828258	78
147	-98.34227813780308	10003.12930015693	85
148	-99.2895394526422	10003.79044306739	77
149	-99.325026194565	10002.11285294411	107
150	-83.19927159138024	10.516243317307362	1000
151	-100.6746501903981	10003.743214875703	81
152	-78.27816612273455	8.50376278636082	1000
153	-100.87159724533558	10002.749199741344	79
154	-100.76126648299396	10002.2189165051	78
155	-99.68554269568995	10002.04996834114	62
156	-102.81587384454906	10003.594221460848	72
157	-101.64978950470686	10003.009954545561	75
158	-101.0352629730478	10001.713362348824	54
159	-101.33905468136072	10005.63537956693	68
160	-97.38694196939468	10003.665058476292	72
161	-100.07279585301876	10001.770663324724	52
162	-100.91342407558113	10001.921181406586	51
163	-99.41686471551657	10001.916160271974	55
164	-105.77334036678076	10003.860851058009	51
165	-100.76715322304517	10001.637825139815	64
166	-102.30515326280147	10003.101392970153	50
167	-100.10489734169096	10001.73966895148	57
168	-99.93781724851578	10002.128494754686	50
169	-100.67630327772349	10002.145871992876	58
170	-99.44416084326804	10001.672339506225	54
171	-99.59338246379048	10001.759618437738	54
172	-99.93733909726143	10001.618269769775	57
173	-99.79073547199368	10001.786274935337	55
174	-100.14543575048447	10001.856330876906	54
175	-99.66936745494604	10001.709121973163	51
176	-100.64757203217596	10001.532829650409	54
177	-99.96379459090531	10002.002084639002	53
178	-99.20549893192947	10001.85265423326	56
179	-100.11473147105426	10001.881014691082	53
180	-99.82168357633054	10002.029075865446	49
181	-100.05229372251779	10001.917646775617	50
182	-99.46363446488976	10002.178269552398	52
183	-99.95092298090458	10001.847636596514	47
184	-100.18286509159952	10001.94928956371	48
185	-100.23315195739269	10002.06684998104	53
186	-99.78504557721317	10001.693574266481	48
187	-99.23299705609679	10001.815931179333	58
188	-103.92936829011887	10002.373036220692	54
189	-99.26539019774646	10001.770075716355	67
190	-100.14813663577661	10001.50639223655	60
191	-98.96941577643156	10001.843717105527	58
192	-104.18075356818736	10002.328148501452	53
193	-101.77055641915649	10001.771032091565	44
194	-102.03606774285436	10002.17184178812	44
195	-101.01040242239833	10001.494610819644	53
196	-100.91938018612564	10002.110189336123	48
197	-100.95883883815259	10001.593989796567	52
198	-101.10113616334274	10001.554589472129	53
199	-100.22947055194527	10001.78002920628	47
200	-100.45357449352741	10001.757469544937	44
201	-100.00115337129682	10001.677706436518	49
202	-101.53336094133556	10001.76217592243	43
203	-100.4282088894397	10001.540535107857	49
204	-101.17351200152189	10002.033432765633	73
205	-105.73613439965993	10004.165990269968	50
206	-101.93582728132606	10002.834215161283	58
207	-100.11970248422585	10002.378360739476	71
208	-100.34121717233211	10002.173116503105	65
209	-98.48249556170776	10003.363679349444	64
210	-99.3663609600626	10003.23815657939	62
211	-98.27284369245172	10002.913809854716	69
212	-99.90965805016458	10002.581593530515	79
213	-100.64121436863206	10002.57455127494	99
214	-100.63871736358851	10002.91623399064	72
215	-98.00396242365241	10003.811950551622	71
216	-100.60626287106425	10002.582745091075	93
217	-98.75672614597715	10003.567532333065	63
218	-98.59029298555106	10003.159305207511	70
219	-100.66081767342985	10002.557834493806	77
220	-99.74318117462099	10002.680627946402	74
221	-98.6927123721689	10003.321685546754	71
222	-98.83587824646384	10002.913217888845	68
223	-99.42113183438778	10003.49470521433	69
224	-99.1236836668104	10002.666807096703	86
225	-101.51873161643744	10003.744102195777	64
226	-99.54899870883673	10003.196410889039	68
227	-101.56818010890856	10002.22662382016	97
228	-99.43453733623028	10003.280432062073	67
229	-99.03662979789078	10003.184676612114	77
230	-98.17836779914796	10003.690693273158	69
231	-99.48547774320468	10002.679794281186	90
232	-103.75497240852565	10002.004338258694	141
233	-105.47172844037414	10001.952083061642	61
234	-109.16516379453242	10003.987218064376	64
235	-101.54956579115242	10002.137670859527	97
236	-99.36635245475918	10002.181571511288	112
237	-102.09086249116808	10002.230972185704	91
238	-101.69409561995417	10000.54751795644	44
239	-103.11676890822127	10001.717134487382	65
240	-99.38471302296966	10001.722892123971	110
241	-113.60113883588929	10002.377626626772	339
242	-103.93435550108552	10001.825488390297	97
243	-100.71976684173569	10002.494940926848	129
244	-95.02110547944903	10004.258989262327	148
245	-101.8965555774048	10003.072923385665	163
246	-103.75690648658201	10002.09459469417	82
247	-96.63288127444685	10003.749901895073	130
248	-105.18864472210407	10003.385983412101	121
249	-99.77343195676804	10004.933977433853	181
250	-106.29334446461871	10002.61034285112	142
251	-108.75656869681552	10003.904959403555	134
252	-113.80909871729091	10003.850979691673	179
253	-101.19151246082038	10003.164201506248	129
254	-66.47360950056463	9.309844228014367	1000
255	-55.49547071463894	6.294569057565604	1000
256	-66.8625711738132	7.6635984537955	1000
257	-61.68484646966681	7.375971843810837	1000
258	-115.13207486551255	10003.653256633872	102
259	-65.90280410775449	8.25722522325496	1000
260	-70.16911034751683	8.295667073357723	1000
261	-62.89992946758866	6.348087383395068	1000
262	-69.35259769530967	8.538810335794025	1000
263	-62.913991269655526	7.675199518300302	1000
264	-74.0044231005013	6.11026948787574	1000
265	-70.69093563355273	8.676402979163864	1000
266	-75.34300962998532	6.986118593809707	1000
267	-62.08098841458559	5.397028656813732	1000
268	-114.27217775187455	10003.94837579543	108
269	-107.99617466237396	10002.54280901456	132
270	-66.84732982050627	5.836518972360924	1000
271	-123.24581966083497	10015.409772187339	59
272	-127.06579351238906	10019.462728904587	63
273	-124.92919092439115	10017.502134588836	61
274	-123.13748061098158	10015.073388596253	57
275	-63.35215935437009	12.344347682358665	1000
276	-116.8692331565544	10006.022865342384	112
277	-115.04512787610292	10007.104087319569	35
278	-114.90240366337821	10006.104233801938	69
279	-125.13242425071076	10017.723607607559	75
280	-111.8972458075732	10004.75099314203	51
281	-115.67959024012089	10007.410176186655	38
282	-114.65747490525246	10007.213848144784	34
283	-116.32244785130024	10008.10656374945	37
284	-115.97756015043706	10004.872942729138	140
285	-115.66559376567602	10007.31404928857	37
286	-111.64321838878095	10003.849738096176	119
287	-116.7241053506732	10006.198683757766	64
288	-112.65737782884389	10004.164519993728	78
289	-112.2254902869463	10004.010830138312	71
290	-63.973469170276076	10.104054388557627	1000
291	-61.637434653472155	15.018934901656365	1000
292	-142.73970257490873	10013.950267287357	166
293	-166.62439022678882	10016.304478981014	733
294	-135.1540258601308	10013.917016056783	158
295	-73.17545152828097	9.813425838788156	1000
296	-115.24345953762531	10004.74480093499	133
297	-67.80075316503644	17.082737282121148	1000
298	-60.328494724817574	8.883146240027397	1000
299	-121.42161647044122	10011.973973002856	52
300	-121.34008110314608	10011.936776738952	52
301	-121.56169194355607	10012.351487470003	51
302	-66.7581090554595	11.757188761479746	1000
303	-111.84572785161436	10004.717178076717	72
304	-112.90514777228236	10005.131964091823	71
305	-112.06535522732884	10005.026332734718	68
306	-112.59551060199738	10005.133466915777	76
307	-118.5696322992444	10009.018403474201	53
308	-122.37332842312753	10011.94476520819	56
309	-118.2667176052928	10008.21009621545	56
310	-120.60649142973125	10009.91848822666	57
311	-120.93381077237427	10010.287664008594	57
312	-108.96149539295584	10005.217896021873	65
313	-121.02592046558857	10010.313000864206	57
314	-121.70961848646402	10011.448575250513	55
315	-118.08753410726786	10007.282743284322	61
316	-111.3893479257822	10004.300833496409	76
317	-119.91350621730089	10008.469802706855	63
318	-110.90787338651717	10004.416667379232	76
319	-120.4227554872632	10009.669804859082	57
320	-120.16566716879606	10008.944800747016	59
321	-121.76410076580942	10010.569867783153	59
322	-121.06861587800086	10009.510099164878	61
323	-118.10163244232535	10006.644812968969	69
324	-119.56901138462126	10008.503159756916	60
325	-120.67169663123786	10009.618392906556	60
326	-121.29473929107189	10010.278004647522	57
327	-119.00112048350275	10008.359773086331	58
328	-122.22464708797634	10011.742586420576	56
329	-121.90903618372977	10011.614468907052	55
330	-114.90487793646753	10006.022125749427	51
331	-120.3241992406547	10009.165529284863	62
332	-110.85336919128895	10004.714477008944	39
333	-117.75681283324957	10007.29974321553	58
334	-110.98515962250531	10004.097315672003	44
335	-111.32429712079465	10004.825880104243	40
336	-114.41440586932003	10006.225519247875	47
337	-120.32473545894027	10008.653875843973	62
338	-111.87397318705916	10005.341823840761	40
339	-121.09748451597989	10009.606696906962	61
340	-120.04744363203645	10008.832871277493	60
341	-119.34183501079679	10009.385429105194	54
342	-118.28959651477635	10007.447177009923	60
343	-118.87743830494583	10007.276419023845	64
344	-108.88199047930539	10003.19650142544	43
345	-119.42846270091832	10008.506638101455	60
346	-121.5874869376421	10011.08786278271	57
347	-117.6238298099488	10006.407268270917	65
348	-117.11445744521916	10006.264196800215	64
349	-118.41747027821839	10006.951900133987	65
350	-120.48419603146613	10008.32752397099	66
351	-111.62500532902777	10005.061825829403	68
352	-111.90341789275408	10004.9258910787	66
353	-111.72291876375675	10005.255682911087	63
354	-110.19022678025067	10004.945103034519	70
355	-120.71998009085655	10009.415926071788	59
356	-110.46221244335175	10004.056183117502	41
357	-113.9639750290662	10004.69739203913	63
358	-119.35475147329271	10007.479445517525	65
359	-121.69806364178658	10010.031998275112	61
360	-109.04419699776918	10004.224866512446	72
361	-122.33169339969754	10012.645705701185	53
362	-111.27994267083704	10004.39076835549	61
363	-107.54066291637719	10002.68949550637	54
364	-109.66413330938667	10003.599923198854	91
365	-116.53384796530008	10005.65451826971	64
366	-112.64308746159077	10004.129075868972	64
367	-113.71464003250003	10004.759358048435	58
368	-115.53729128092527	10005.452329861655	60
369	-118.40568412467837	10007.972577253573	57
370	-119.18550017848611	10008.662664412457	56
371	-116.91227290593088	10005.578693201473	67
372	-120.11221383139491	10009.359940563783	57
373	-115.9365895409137	10004.737610635948	71
374	-112.41330107674003	10004.53176907559	58
375	-114.77866086363792	10004.670576984852	65
376	-119.1081463098526	10007.324699421819	65
377	-113.32274051383138	10005.668543511072	45
378	-120.99771774746478	10009.827948801896	60
379	-120.61945088207722	10009.266830960789	60
380	-111.21260626241565	10003.844263240326	71
381	-112.3392913043499	10003.309498665087	73
382	-113.8101542815566	10004.77529665472	56
383	-114.15508898347616	10004.662504979417	61
384	-108.56391885876656	10003.43889110277	76
385	-111.44804333895445	10003.461438109127	64
386	-111.97459713183343	10003.880564899073	65
387	-114.47282769531012	10005.13517041318	59
388	-108.70457948185503	10003.612863323919	82
389	-109.95560001768172	10004.456479984632	72
390	-113.68327755853534	10005.281082607049	53
391	-108.37586652301252	10003.12164686042	73
392	-112.57413794379681	10003.670892582291	79
393	-116.18732404522598	10007.243910928477	50
394	-107.68349149636924	10003.483433044217	86
395	-108.14814215525985	10003.780220523857	81
396	-107.7980426363647	10003.028961146476	82
397	-111.55614714697003	10003.382576563756	63
398	-117.22269580513239	10006.30968789844	68
399	-134.70035110600293	10020.361429874054	171
400	-110.28600268159062	10004.511534995663	96
401	-113.66109030647203	10008.429991222525	205
402	-79.42615028610453	9.532551773223837	1000
403	-132.7954701371491	10019.234548009425	139
404	-110.6852406449616	10002.77110674096	119
405	-106.0179084353149	10003.73654562659	116
406	-118.4101459030062	10006.155760916492	66
407	-106.13048292417079	10003.34255195192	124
408	-106.49826266337186	10003.74102018703	192
409	-111.2808122318238	10002.45583894838	75
410	-107.63655757345259	10002.98998207986	166
411	-107.70738756470382	10002.86254644184	108
412	-111.08565208222717	10002.743006547164	72
413	-105.96469794306904	10001.737189024405	107
414	-112.01669421233237	10002.88661771981	84
415	-108.12055708747357	10002.228189118821	112
416	-119.37673702463508	10007.584596887718	271
417	-113.9669965673238	10003.110190477173	110
418	-105.4688929291442	10005.207318642691	190
419	-142.24115424230695	10022.651915119442	288
420	-146.68303068634123	10029.897066514288	510
421	-123.7424756186083	10013.861823751016	125
422	-130.27439850661904	10020.020984706389	124
423	-112.87957333633676	10002.964076396505	348
424	-120.19907826557755	10007.91375542802	86
425	-109.2060539983213	10004.518640065353	136
426	-106.9560647229664	10001.965418041897	121
427	-142.65889846161008	10020.51591078982	249
428	-118.1986809708178	10005.962244143913	129
429	-111.62251304835081	10002.978393695581	224
430	-110.27878474630415	10002.455280915268	134
431	-118.38249734696001	10005.923490756139	83
432	-110.11273436341435	10002.270101886219	106
433	-107.88226748537272	10003.52768812644	235
434	-123.53290753654437	10004.795421000937	205
435	-123.95609038323164	10007.219483684736	212
436	-124.64264268404804	10011.138189429752	643
437	-111.21251082618255	10002.643746931562	137
438	-112.87008494697511	10003.035557329453	207
439	-111.89164027944207	10002.983407707034	136
440	-117.75364908343181	10003.721942538294	291
441	-118.01899865223095	10008.023824392274	141
442	-114.77501086139819	10003.312359082838	223
443	-112.4361371351406	10007.48027876275	265
444	-32.49903497239575	8.592520787144636	1000
445	-32.030548154958524	30.42836591273443	1000
446	-29.287838994991034	23.91091830302293	1000
447	-28.706917153205723	18.602988347552238	1000
448	-120.45633724844083	10016.03330504432	478
449	-141.27926538605243	10021.531446093333	680
450	-40.29870480578393	11.468802032289684	1000
451	-40.00677091139369	18.80922273130543	1000
452	-92.36869315244257	10008.604546449533	190
453	-124.70551132038236	10011.95305527366	113
454	-116.96754818037152	10016.811841624527	701
455	-129.12726594135165	10013.65949837918	157
456	-136.55788102303632	10012.349062687746	252
457	-127.90273680351675	10011.622975930868	125
458	-121.13460555975325	10010.5231942916	71
459	-134.65920431632549	10017.628537413782	231
460	-134.38495708163828	10019.7082996111	178
461	-29.954453743295744	1.8775648545160435	1000
462	-111.77665266394615	10005.533140258163	142
463	-43.52368808025494	4.530195536476462	1000
464	-136.846624965081	10011.619044762288	639
465	-123.96181410574354	10005.359166992279	513
466	-115.58202822180465	10011.937072500683	802
467	-27.810379850910977	2.88956458773703	1000
468	-124.8376294951886	10009.541921537362	398
469	-133.94705056073144	10005.291268163814	593
470	-41.260983656393364	7.057819631915894	1000
471	-108.81932993140072	10003.323603017941	146
472	-133.08677258063108	10006.443588805949	308
473	-38.87438633525744	3.5823144781116754	1000
474	-44.13476310297847	4.091193979417607	1000
475	-128.35980313760228	10012.351668506397	516
476	-40.2068926692009	3.2847371925893154	1000
477	-45.577714359620586	4.342832707359522	1000
478	-61.213973281439394	5.58240716894075	1000
479	-113.41948881931603	10009.261884075613	98
480	-72.11742862826213	13.528158436107624	1000
481	-91.55041566956788	10005.29973539265	217
482	-73.69316678447649	15.11656834335923	1000
483	-78.81833567400463	19.748579164662853	1000
484	-129.65500896889716	10010.521850522066	173
485	-98.95177688263357	10004.01098954026	96
486	-157.48113494785503	10013.45669254949	916
487	-50.61988740880042	11.527868215572632	1000
488	-149.64104977343231	10026.404687746699	960
489	-172.7809325554408	10012.710918817784	752
490	-63.04604466049932	13.89440897661663	1000
491	-42.02172177017201	14.637770645585249	1000
492	-147.9103627097793	10012.042600278204	378
493	-161.4761936366558	10012.718204866458	623
494	-123.89159094169736	10009.870098742087	333
495	-52.796701863466296	11.739912289796173	1000
496	-52.268902806565166	12.91204184747285	1000
497	-46.28182762255892	12.570399639008956	1000
498	-51.56464214751031	5.383718541355798	1000
499	-35.69482870912179	12.843979544614701	1000
500	-46.66056904918514	10.133545478633948	1000
501	-49.27831287169829	13.60095364886665	1000
502	-55.34778526844457	17.128774689818272	1000
